ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d
7233.KL,2018-01-05,60.0,0.611,-0.01599963652479741,-0.018584978041945588,-0.07200163600704801,-0.07797532398131202,-0.08000021012258163,-0.07696384559500091,-0.20000001843180537,-0.19888337221124663
7233.KL,2018-07-31,85.0,0.611,0.26562399039974904,0.26179046605040757,0.5234368926201698,0.5237002922015765,0.6562488878200443,0.6358537556085058,0.8855308972661882,0.9406297111060369
7233.KL,2018-08-29,100.0,0.611,0.10849085240234624,0.12061300075776216,0.07547229642826969,0.09068676662518904,0.2813342902175626,0.2936870837700639,0.7862469449767229,0.8545196665625588
7233.KL,2018-10-02,100.0,0.611,-0.007434794434165726,0.005912256520506753,-0.014870565770378041,0.019225620733152593,-0.11152419595059448,-0.04912112530337376,0.15427497627145637,0.21326898493854007
7233.KL,2018-10-30,85.0,0.611,0.17573198179625127,0.15856644537007014,0.45188291956345905,0.45041780641632223,0.5690379406028847,0.5628692603559551,-0.0020927640575286732,-0.004744159082732735
7233.KL,2018-11-29,100.0,0.611,0.03199970100723193,0.03966325917477975,-0.06400051155793918,-0.0520100106971777,-0.1720002032216471,-0.16948300760208557,-0.327999971969428,-0.3306056076523525
7233.KL,2018-12-28,85.0,0.611,-0.19323643797525614,-0.18561269737751007,-0.251207700848612,-0.24180506820670045,-0.23188455779864603,-0.23090356282676827,-0.18357553646461366,-0.1549479129361151
7233.KL,2019-11-01,100.0,0.611,-0.020000097370115877,-0.030286674622949206,-0.060000016534548006,-0.06088497154097161,0.016666732498663128,0.036499270603403744,0.3966666535002674,0.4235723961771709
7233.KL,2019-11-29,85.0,0.611,0.05245887686515105,0.048168821405362605,0.0655736638459754,0.05954190183423447,0.07213101216002982,0.037598981189340464,0.5606554041404674,0.6032681625024644
7233.KL,2019-12-30,85.0,0.667,-0.006116181921501651,-0.0032504947719730337,0.18348630038455038,0.20519250734852756,0.28134563249832745,0.3217004521513397,-0.17431190109137296,0.005904378238967833
7233.KL,2020-01-29,100.0,0.667,-0.02386624563419526,-0.015043158506347631,0.10023869205278846,0.1050953029121785,0.13603802761914086,0.1716917521938941,-0.21479713148609414,-0.1060688366851068
7233.KL,2020-02-26,100.0,0.667,-0.11134445000099003,-0.10783988506962972,-0.18907547894907417,-0.15472533792066567,-0.4327730421060201,-0.3186136723300882,0.05042030526161123,0.07948682031362209
7233.KL,2020-03-30,60.0,0.667,0.0032469635656509066,-0.006392685218564953,0.0032469635656509066,-0.01718379339833609,0.09740273335459215,0.06633895848763927,0.610469770939202,0.47084087431471877
7233.KL,2020-04-27,60.0,0.667,0.18934912496931355,0.17519748270509705,0.3313610094619528,0.31158962134338797,0.4497042737162549,0.3493292052601811,1.0844891007724522,0.908407472533991
7233.KL,2020-06-02,85.0,0.667,0.0714285714285714,0.026604979873687817,-0.024489802345791123,-0.03684645763091954,0.01229506721574869,0.007824577548356748,0.39336813911876045,0.3817476997631004
7233.KL,2020-07-01,85.0,0.722,0.17959184580520526,0.1339839643980616,0.2816326167791787,0.23466444898000138,0.42040793196726356,0.35636404298294755,0.3682515748987336,0.375204705068775
7233.KL,2020-07-29,100.0,0.722,0.03448285842711529,0.04866295860776404,-0.060344669784155425,-0.03862469668868129,-0.03095115949899263,0.022548288600672595,-0.03383529815230202,0.03509152746135802
7233.KL,2020-08-28,85.0,0.778,-0.017857220699296517,-0.01206788265349723,-0.047618986114136064,-0.03853828513482671,-0.005952353082967932,0.008019452156449058,-0.047618986114136064,-0.09506818784417459
7233.KL,2020-09-29,85.0,0.833,0.017964068452335002,0.014260400523190109,0.05089828869162427,0.03673516187997916,0.002993916665380958,0.005354478385238726,-0.05688628443954302,-0.1523713388013752
7233.KL,2020-10-27,85.0,0.833,-0.05970145990915432,-0.03588035762239128,-0.05373133820809073,-0.1002071482546888,-0.044775993724149976,-0.10958086062247385,0.13432846696948553,0.07008344666294408
7233.KL,2022-06-03,60.0,0.722,-0.03942644753596325,0.008043040044628524,-0.03584228481542673,0.02696697796425973,-0.05017912358616183,0.015049113208485676,0.04102096404507605,0.05778478577000912
7233.KL,2022-07-18,60.0,0.667,0.05357146033154914,0.025814328277628196,0.12499991809232047,0.07426338379130981,0.10357137140321138,0.05147771283596847,-0.13558089253909034,-0.09628150100348798
7233.KL,2022-08-15,60.0,0.611,-0.07443363142852855,-0.0633698655357533,-0.07636769185186387,-0.07474532001875167,-0.07636769185186387,-0.0656164044001053,-0.43211296080043515,-0.4083098952651839
5211.KL,2024-11-01,85.0,0.611,0.06192656125176499,0.05116582235489875,0.06422000954451001,0.0714146374095832,0.1123852118757438,0.11842639787821385,-0.011467910627786293,0.020508822054071008
5211.KL,2024-11-29,85.0,0.611,0.0,-0.011892416356467539,-0.032989633253235895,-0.042059476621261305,-0.00412357883210146,-0.031339464013164564,-0.0494844498798539,-0.037196793675124296
5211.KL,2024-12-30,85.0,0.667,-0.006211130724796066,-0.0013933309167328822,-0.12008286742721763,-0.08270066164488887,-0.10766050530284288,-0.055763853015906695,-0.06000448606832154,0.007872040807487934
5211.KL,2025-01-28,60.0,0.722,0.041763349705564945,0.02084474794683544,0.09048720128480747,0.06542744328544337,0.06960558284260832,0.05543017719420762,0.06511022345924355,0.07314142812579216
5211.KL,2025-02-28,60.0,0.778,-0.0021691802365687574,0.015249967849523371,-0.032537914506979515,0.007183891994166025,-0.01514565626008646,0.01545060533550835,0.03956852668729849,0.08170352233301537
6459.KL,2007-04-02,85.0,0.611,0.008889338904346733,-0.03288225259353417,0.0,-0.06146993689328473,0.008889338904346733,-0.05205100306490018,0.14444477692204605,0.05527683940386474
