symbol,close,tier,w_score,m_score,resonance,red_ratio,red_streak,sweet_spot,vwap_score,base_trend,dv_daily%,dv_weekly%,dv_monthly%,ad_w_up,ad_m_up,vol_ratio,rel_20d%,turnover_20d,risks,scan_time
1481.KL,0.065,Tier 3,-55.0,-55.0,-55.0,0.0,0,False,-1.0,0.0,-10.77,-16.28,-14.78,0,0,0.05,-19.36,311583.0,弱于板块,2026-07-25 15:07:25
9407.KL,1.65,Tier 3,-90.0,60.0,-90.0,0.2222222222222222,0,False,1.0,0.0,-4.17,-49.4,-57.44,0,0,1.09,1.24,888090.0,,2026-07-25 15:07:25
9385.KL,0.24,Tier 3,-55.0,-55.0,-55.0,0.0,0,False,3.3,1.3,2.58,0.76,-8.42,0,0,0.0,3.11,323196.0,,2026-07-25 15:07:25
5305.KL,0.13,Tier 3,-55.0,,-999.0,0.0,0,False,3.5,1.5,-7.25,-0.51,-8.43,1,0,0.54,7.09,516316.0,,2026-07-25 15:07:25
0186.KL,0.17,Tier 3,-90.0,-90.0,-90.0,0.0,0,False,0.0,0.0,-3.91,-8.85,-21.03,0,0,0.77,-1.24,998813.0,,2026-07-25 15:07:25
9172.KL,1.03,Tier 3,60.0,60.0,60.0,0.0,0,False,11.82,9.82,7.3,9.25,2.64,1,1,0.7,21.38,217028.0,,2026-07-25 15:07:25
0157.KL,0.51,Tier 3,60.0,85.0,60.0,0.0,0,False,3.33,3.33,0.15,-1.41,1.09,1,1,0.31,-2.21,220245.0,,2026-07-25 15:07:25
3719.KL,5.99,Tier 3,-90.0,-90.0,-90.0,0.0,0,False,3.21,4.21,5.66,1.27,-7.04,0,1,0.53,-6.01,1389922.0,弱于板块,2026-07-25 15:07:25
