ticker,signal_date,crsi_weekly,crsi_monthly,monthly_confirmed,ret_4w,exc_4w,ret_8w,exc_8w,ret_12w,exc_12w,sample
8869.KL,2003-07-06,85.54185420785252,,False,0.1661763192210752,0.1690447889659499,0.1588878651786137,0.13380201226129798,0.09329212794730447,0.06969572781875447,in_sample
8869.KL,2003-07-13,88.35850328625965,,False,0.16212748664152998,0.16446206653434622,0.09126720701151138,0.046261052907485355,0.04166547292575239,0.01914856832119426,in_sample
8869.KL,2003-08-10,84.70220150383898,,False,-0.060974618055717834,-0.10842613140150087,-0.10365645344462568,-0.12856609148209966,0.7682969888442827,0.636880959909524,in_sample
8869.KL,2004-12-12,91.2219562329102,,False,-0.040696939581279915,-0.06535508045077582,-0.040696939581279915,-0.05555893185706275,-0.0755802765199232,-0.06562762052169673,in_sample
8869.KL,2005-08-07,91.31069510873692,,False,-0.4487963295763763,-0.412513078982092,-0.45784243602297314,-0.441020486320353,-0.5210838450773221,-0.4812072313165048,in_sample
8869.KL,2006-01-15,93.1357595642271,,False,0.07577461620648934,0.06655214343603949,0.09090863446849501,0.07987672604733036,0.3181987977719857,0.28331559050479305,in_sample
8869.KL,2006-03-26,81.13064729390713,,False,0.11393688052353762,0.09007313623835425,0.06330480032269231,0.04353350700603151,0.06361771546625233,0.09880870760567524,in_sample
8869.KL,2006-04-02,92.31597981946804,,False,0.08331750015869037,0.05892807237538042,0.0,-0.004446213802140522,-0.011917736347338611,0.009978789688325159,in_sample
8869.KL,2006-04-09,91.89774081393693,,False,0.08047156845486372,0.06174761459325237,-0.06896469815544091,-0.05519982232803592,-0.03418522266856011,-0.003434230461664963,in_sample
8869.KL,2006-04-16,94.51256511897412,,False,0.010856809356460438,-0.018695987399762228,-0.15219474097265445,-0.1277681245398273,-0.08668604054158835,-0.07308725796632135,in_sample
8869.KL,2006-10-08,81.15038478993505,,False,0.06096004488056658,0.03311185067840995,0.42680349006062374,0.314411878412638,0.4146226668085437,0.28561896715949997,in_sample
8869.KL,2006-10-15,87.93545299364575,,False,0.0595088620063117,0.020100184543739436,0.29759813709367744,0.1806227315552864,0.34521499816540013,0.2060645320488984,in_sample
8869.KL,2006-10-22,89.09511543524688,,False,0.0813803554856557,0.01847117905666143,0.22091146304434417,0.1084410093294674,0.4185939379917654,0.27547569407192196,in_sample
8869.KL,2006-10-29,85.67934562438789,,False,0.37931897220683947,0.30806932319443253,0.19541273156292582,0.10467635003568185,0.5057673704043073,0.3462967355338795,in_sample
8869.KL,2006-11-26,90.42875410078636,,False,-0.13333119050024603,-0.15152184524893325,0.09167451528282604,0.009321175947450355,0.5666738758627394,0.3765058290371395,in_sample
8869.KL,2007-01-21,86.11212869368626,,False,0.43511078982809515,0.33549941194254407,0.29006808492990654,0.2600618631472861,0.8625983691106787,0.7228131003775293,in_sample
8869.KL,2007-01-28,93.4547937574652,,False,0.23026665510316136,0.13318064305713212,0.14474919507403958,0.0885387744855824,0.7500181614599044,0.6256646080085844,in_sample
8869.KL,2007-02-04,86.31725219908448,,False,0.08387635284501256,0.12091700459722238,0.34193500517338465,0.31102088071309675,0.7032323829145236,0.607910392534974,in_sample
8869.KL,2007-02-11,97.0241231098101,,False,-0.04519732947641235,-0.003258980360649137,0.37854266585967195,0.3478786567548893,0.49153486011242564,0.39278960091603154,in_sample
