股票代碼,現價,DCF估值,DCF安全邊際%,Graham估值,Graham安全邊際%,OwnerEarnings估值,OE安全邊際%,增長率假設%
7233.KL,2.88,1.921,-49.9,1.951,-47.6,1.222,-135.7,10
7103.KL,3.0,3.591,16.5,4.449,32.6,4.072,26.3,12
5263.KL,8.1,28.578,71.7,11.67,30.6,6.076,-33.3,15
0099.KL,2.06,1.942,-6.1,146.3,98.6,1.655,-24.5,10
5026.KL,1.89,6.568,71.2,6.228,69.7,5.117,63.1,8
5135.KL,4.25,5.024,15.4,10.589,59.9,5.689,25.3,10
7161.KL,2.64,3.732,29.3,4.552,42.0,3.385,22.0,8
6491.KL,2.6,10.589,75.4,10.301,74.8,6.884,62.2,8
