symbol,close,tier,w_score,m_score,resonance,red_ratio,red_streak,sweet_spot,banker_flag,vwap_score,base_trend,dv_daily%,dv_weekly%,dv_monthly%,ad_w_up,ad_m_up,vol_ratio,rel_20d%,turnover_20d,risks,scan_time
6947.KL,2.91,Tier 3,-55.0,-55.0,-55.0,0.0,0,False,混合不一致,2.36,2.36,-1.1,2.46,-1.2,1,0,0.25,-2.02,5884413.0,,2026-08-07 14:01:40
4863.KL,7.9,Tier 2,85.0,100.0,85.0,0.8888888888888888,14,False,混合不一致,9.18,7.18,2.13,4.74,6.66,1,1,0.23,4.88,24214250.0,,2026-08-07 14:01:40
6012.KL,3.64,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,7.0,6.0,0.7,5.45,3.25,1,1,0.28,2.34,7907133.0,,2026-08-07 14:01:40
6888.KL,1.91,Tier 3,-55.0,-55.0,-55.0,0.0,0,False,混合不一致,0.5,1.5,-3.92,-4.33,-9.28,0,1,1.43,-8.39,10567681.0,弱于板块,2026-08-07 14:01:40
5031.KL,6.01,Tier 2,85.0,100.0,60.0,0.9444444444444444,10,False,混合不一致,3.15,3.15,0.38,-0.23,-0.86,1,1,0.09,0.0,12873118.0,,2026-08-07 14:01:40
0172.KL,0.385,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,4.97,2.97,1.85,1.0,1.53,1,0,0.94,4.71,351242.0,,2026-08-07 14:01:40
9431.KL,0.5,Tier 3,85.0,85.0,-55.0,0.0,0,False,混合不一致,-1.0,0.0,-1.82,-3.85,-4.2,0,0,0.46,-5.0,1711754.0,弱于板块,2026-08-07 14:01:40
