symbol,close,tier,w_score,m_score,resonance,red_ratio,red_streak,sweet_spot,banker_flag,vwap_score,base_trend,dv_daily%,dv_weekly%,dv_monthly%,ad_w_up,ad_m_up,vol_ratio,rel_20d%,turnover_20d,risks,scan_time
6947.KL,2.91,Tier 3,-55.0,-55.0,-55.0,0.0,0,False,混合不一致,3.84,1.84,-0.38,0.97,-2.35,1,0,0.51,4.68,5823084.0,,2026-07-30 13:41:43
4863.KL,7.65,Tier 2,85.0,100.0,85.0,0.8333333333333334,4,True,混合不一致,4.43,3.43,0.34,2.58,3.58,1,0,0.32,2.41,18015011.0,,2026-07-30 13:41:43
6012.KL,3.64,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,8.73,6.73,2.85,5.55,2.59,1,1,0.36,4.6,7178905.0,,2026-07-30 13:41:43
6888.KL,2.0,Tier 3,60.0,-55.0,-55.0,0.0,0,False,混合不一致,0.11,0.11,-2.03,0.31,-6.07,0,0,0.41,-2.91,8688091.0,,2026-07-30 13:41:43
5031.KL,6.0,Tier 2,85.0,100.0,60.0,0.9444444444444444,9,False,混合不一致,0.04,0.04,0.11,-0.81,-0.59,0,0,0.27,-2.44,12542061.0,,2026-07-30 13:41:43
0172.KL,0.375,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,1.67,1.67,0.42,-1.36,-0.51,1,0,0.09,0.0,237949.0,,2026-07-30 13:41:43
9431.KL,0.5,Tier 3,85.0,85.0,-55.0,0.0,0,False,混合不一致,0.5,1.5,-3.52,-4.51,-4.21,1,0,0.38,-6.54,1962185.0,弱于板块,2026-07-30 13:41:43
