ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,month,year
5211.KL,2025-07-01,85.0,1.0,-0.0083506185186843,-0.0009618460446036,0.0271399629628326,0.0376035962208689,0.0187892438270129,0.0302778834715422,0.1565762604937384,0.1115431307099068,7,2025
5681.KL,2007-04-13,100.0,1.0,-0.0072993724827049,-0.0127802196107679,0.014598508502535,0.0019321967934331,0.0802915208905885,0.0513203958113437,0.1605832782440519,0.1122344001208406,4,2007
5681.KL,2011-05-06,85.0,1.0,0.0089399011984863,-0.00771466180671,-0.0229883641042977,-0.0318831054231693,0.0395909442851067,0.0154140952924064,0.1405294496123186,0.1124792947026354,5,2011
5681.KL,2011-11-01,60.0,1.0,0.016230021782118,0.0067426130231902,0.0112363417520282,0.010423168376433,0.0374535193454805,0.0309343174929344,0.1549149880560381,0.1132720734143426,11,2011
8869.KL,2019-05-23,60.0,0.833,0.0346416936241908,0.0130232071125691,-0.0023098765420292,-0.0286665539452015,0.0306347600501444,-0.0152866061143854,0.1116959478131653,0.115079520738455,5,2019
4863.KL,2011-12-01,85.0,0.667,0.0321098758216222,0.0404181624106214,0.0619264580610505,0.0761664054608327,0.1376145604507186,0.1070004118140093,0.1857799121361387,0.1157854598153595,12,2011
5031.KL,2022-02-28,60.0,1.0,-0.030588411444119,-0.0083783671406145,-0.0017611058037306,0.0236325365636871,0.0468149750780426,0.0532380344562756,0.0759606059713584,0.1165381226828953,2,2022
5681.KL,2013-06-20,85.0,1.0,0.0015923633492878,0.0077035676232242,0.0270697586026167,0.0219629119245918,0.0501587582374698,0.0335898363446975,0.1226848279954748,0.11754390242523,6,2013
0225.KL,2026-03-11,60.0,0.944,0.020201986487911,0.0078949434886266,-0.0404040336612185,-0.0416388241640257,-0.0404040336612185,-0.0272133135708306,0.1010101751811414,0.1181335083568368,3,2026
5681.KL,2008-07-23,60.0,1.0,0.0132453932423193,-0.0047726218801671,-0.0102861510553362,-0.005178184489494,-0.1071812074061004,-0.0490809000046057,-0.0864179908912463,0.1191094721695246,7,2008
5681.KL,2004-12-29,85.0,0.611,0.0067569034378212,0.0063382021931299,0.0540543430700775,0.025682189083515,0.0810817156125007,0.0674520687667583,0.0864866433808992,0.119354287586524,12,2004
5031.KL,2021-01-04,85.0,0.611,-0.0059701124087104,-0.0151304325213713,-0.0074628374749625,-0.0117996673639051,0.0373133119789261,0.0495311600048592,0.1069956124282756,0.1194318444234999,1,2021
5681.KL,2007-07-10,85.0,1.0,0.0062897395855476,0.0018929117671337,0.1383650344485014,0.1232495703213933,0.067889009037986,0.1271838788358785,0.1193532622064563,0.1226271623808946,7,2007
5681.KL,2011-03-10,100.0,1.0,0.0281699567244666,0.0445322114397221,0.0605637984140783,0.0625876945517521,0.1619723954688741,0.1322936284247917,0.1464790245022369,0.1232541926566215,3,2011
8869.KL,2021-10-29,60.0,0.667,-0.0287770282696263,-0.0115589195682873,-0.0449641066712911,-0.0193801372450077,-0.0593524384514184,-0.0262347407062862,0.0937225584690668,0.1235182117531692,10,2021
5681.KL,2010-11-09,85.0,1.0,-0.0278253481558781,-0.0127650546843083,-0.0521733825608312,-0.0272868821282958,0.0707752977495039,0.0742079129839311,0.1301630037881038,0.1239135905377259,11,2010
4863.KL,2012-05-02,100.0,0.944,0.0036969053528499,0.0021106909920478,-0.0092423717682245,0.0200487480927884,0.011022794102611,0.0155854939656591,0.1578751208595334,0.1245710992946707,5,2012
5681.KL,2013-05-22,85.0,1.0,-0.0188084963543176,-0.0137857588871254,0.0007841068413085,0.0087891460018955,-0.0090293100795513,0.0030455150227767,0.1037959654504996,0.1253556896652606,5,2013
5031.KL,2025-12-03,85.0,0.833,0.0424856957154677,0.0497815265242238,0.0616139619386744,0.0501525880646733,0.071178047392364,0.042265742461794,0.1725573913278038,0.1261079530156843,12,2025
0099.KL,2016-02-09,85.0,1.0,0.0476195509232619,0.0460976921378941,0.1190476856614122,0.1101331441340376,0.0952382728748768,0.0799596947371279,0.1240603735905798,0.1269957855688993,2,2016
7103.KL,2015-11-26,85.0,0.611,-0.0185859437658393,-0.0131376777425012,-0.0045655903364051,0.0158967391323968,-0.0139129862648307,-0.006569359006297,0.1122689252345841,0.1270809270567651,11,2015
5681.KL,2006-12-15,85.0,1.0,0.0127663289653103,0.0215791443540686,0.0595749764788458,0.0532223488886811,0.2021279895415586,0.1623875632233091,0.2127665587201734,0.1275023485134085,12,2006
