ticker,trigger_date,annihilation_intensity,zero_slope,vol_ratio,forward_return_60d,excess_vs_klci_60d,sample
7233.KL,2018-01-05,16.727272727272723,False,1.313535122786979,-0.2000000552954264,-0.1988834090748676,out_of_sample
7233.KL,2018-07-31,2.4242424242424243,False,2.8604829282057485,0.8855310898083215,0.9406299036481702,out_of_sample
7233.KL,2018-08-29,1.501481690724924e-15,True,0.9645765453001911,0.7862471313028541,0.85451985288869,out_of_sample
7233.KL,2018-10-02,1.501481690724924e-15,True,1.297439807406042,0.1542749762714563,0.21326898493854,out_of_sample
7233.KL,2018-10-30,-2.2727272727272743,False,0.772843500495747,-0.0020931299907576,-0.0047445250159616,out_of_sample
7233.KL,2018-11-29,1.501481690724924e-15,True,0.8118342895500082,-0.327999971969428,-0.3306056076523525,out_of_sample
7233.KL,2018-12-28,0.30303030303029876,False,1.141813673548533,-0.1835755364646136,-0.1549479129361151,out_of_sample
7233.KL,2019-11-01,1.501481690724924e-15,True,0.9225140384645976,0.396666910092001,0.4235726527689045,out_of_sample
7233.KL,2019-11-29,-5.809095641173686e-16,True,0.6288963043364229,0.5606557655513287,0.6032685239133256,out_of_sample
7233.KL,2019-12-30,-5.809095641173686e-16,True,0.3353111212536133,-0.1743118864014217,0.005904392928919,out_of_sample
7233.KL,2020-01-29,1.501481690724924e-15,True,0.45842117392009424,-0.2147971314860941,-0.1060688366851068,out_of_sample
7233.KL,2020-02-26,1.501481690724924e-15,True,0.9998460914216956,0.0504201777973227,0.0794866928493336,out_of_sample
7233.KL,2020-03-30,11.363636363636358,False,0.6386872004107668,0.6104693038078313,0.4708404071833481,out_of_sample
7233.KL,2020-04-27,-1.3983199263930844e-15,True,0.6701002325475814,1.0844892569465483,0.9084076287080872,out_of_sample
7233.KL,2020-06-02,-5.809095641173686e-16,True,0.0,0.3933682958447102,0.3817478564890502,out_of_sample
7233.KL,2020-07-01,-5.809095641173686e-16,True,0.8335652392697441,0.3682516158165574,0.3752047459865988,out_of_sample
7233.KL,2020-07-29,1.501481690724924e-15,True,0.8145732794226338,-0.0338353710853039,0.035091454528356,out_of_sample
7233.KL,2020-08-28,-5.809095641173686e-16,True,0.2022830746687901,-0.0476190668393324,-0.095068268569371,out_of_sample
7233.KL,2020-09-29,-0.6060606060606011,False,0.9428947926984577,-0.0568861266420274,-0.1523711810038596,out_of_sample
7233.KL,2020-10-27,-5.809095641173686e-16,True,0.5796279396279397,0.1343284560934246,0.0700834357868831,out_of_sample
7233.KL,2020-11-25,-2.2727272727272685,False,0.6490838794705601,0.1687501456837559,0.1938067364821398,out_of_sample
7233.KL,2020-12-23,-1.3983199263930844e-15,True,0.4373091300607262,0.1365078927711129,0.1638826882709233,out_of_sample
7233.KL,2021-01-22,2.4242424242424243,False,0.8332716352510104,0.0947367459327175,0.0948369715052379,out_of_sample
7233.KL,2021-02-24,-5.809095641173686e-16,True,0.4034762463291898,0.1016042268820449,0.0924424683422959,out_of_sample
7233.KL,2021-03-24,-1.3983199263930844e-15,True,0.21001373857132666,0.2563740235290981,0.2798637976647425,out_of_sample
7233.KL,2021-04-21,-5.809095641173686e-16,True,0.8526234567901234,0.0860547193874223,0.1292470197015933,out_of_sample
7233.KL,2021-05-24,-1.818181818181821,False,0.3778273645593423,0.0378524562189821,0.0720738803198666,out_of_sample
7233.KL,2021-06-23,-5.809095641173686e-16,True,0.7492536657489869,-0.0448852616143017,-0.0229521420654991,out_of_sample
7233.KL,2021-07-22,-5.809095641173686e-16,True,0.7532987063264187,-0.0356933528526604,-0.0872113687358171,out_of_sample
7233.KL,2021-08-20,-2.4242424242424208,False,0.6811464186222201,0.0023035074348281,-0.001490890340223,out_of_sample
7233.KL,2021-09-21,-1.3983199263930844e-15,True,0.8397449989008573,-0.0165092625664046,0.0020670506043704,out_of_sample
7233.KL,2021-10-20,1.0606060606060579,False,2.307552089525032,-0.1604652365943404,-0.1287218778990987,out_of_sample
7233.KL,2021-11-18,-3.7878787878787876,False,0.39911901092792357,-0.2056738419017213,-0.2577872630907923,out_of_sample
7233.KL,2021-12-17,6.272727272727276,False,0.13103054942162295,-0.3597121932674157,-0.4058569832973121,out_of_sample
7233.KL,2022-03-23,11.575757575757576,False,1.7821213794368156,-0.0817670911202902,0.0226399704518475,out_of_sample
7233.KL,2022-06-03,6.272727272727269,False,2.0462218094652425,0.0410208662471052,0.0577846879720382,out_of_sample
7233.KL,2022-07-18,6.272727272727269,False,1.204489511572103,-0.1355808925390903,-0.0962815010034879,out_of_sample
7233.KL,2022-08-15,-1.3983199263930844e-15,True,0.4880180461700715,-0.4321130456239264,-0.4083099800886751,out_of_sample
5211.KL,2024-11-01,-5.809095641173686e-16,True,0.9543525698649286,-0.0114679106277862,0.020508822054071,out_of_sample
5211.KL,2024-11-29,-4.007726613178102e-15,False,0.8712312255158522,-0.0494843496202114,-0.0371966934154818,out_of_sample
5211.KL,2024-12-30,-5.809095641173686e-16,True,0.8212363156571324,-0.0600044860683215,0.0078720408074879,out_of_sample
5211.KL,2025-01-28,11.84848484848485,False,0.5586545735034554,0.0651102234592435,0.0731414281257921,out_of_sample
5211.KL,2025-02-28,-1.818181818181815,False,3.620411961443669,0.0395684170344288,0.0817034126801456,out_of_sample
5211.KL,2025-04-02,0.7575757575757616,False,0.39629689940947344,0.0644443780416113,0.054611549402892,out_of_sample
5211.KL,2025-04-30,1.3636363636363638,False,1.6229326497477083,0.0725274992995748,0.083175344883979,out_of_sample
5211.KL,2025-05-30,-5.809095641173686e-16,True,1.9467305270732147,0.010526325401893,-0.0380300384525393,out_of_sample
5211.KL,2025-07-01,0.15151515151515066,False,1.1635321908903795,0.1565762604937384,0.1115431307099068,out_of_sample
5211.KL,2025-07-29,-5.809095641173686e-16,True,0.44897159876422327,0.1306819825972394,0.0717904367008686,out_of_sample
5211.KL,2025-08-26,-0.1515151515151514,False,1.443207908987845,0.1621126341255987,0.1430495235434417,out_of_sample
5211.KL,2025-09-29,-5.809095641173686e-16,True,0.6047558783814829,0.0341469343071281,-0.0066302874984138,out_of_sample
5211.KL,2025-10-28,-5.809095641173686e-16,True,0.6428837131166228,0.0164233868329726,-0.0477700440238617,out_of_sample
5211.KL,2025-11-25,-5.809095641173686e-16,True,1.112597436913727,0.0505415518039544,-0.0377295219382571,out_of_sample
5211.KL,2025-12-23,-5.809095641173686e-16,True,0.31644360225797974,-0.0755645271939375,-0.0994456458077597,out_of_sample
5211.KL,2026-01-22,-5.809095641173686e-16,True,0.8229395854646355,-0.0412308950403028,-0.037299940113845,out_of_sample
5211.KL,2026-02-24,-5.809095641173686e-16,True,0.9962940695343742,-0.0686168221408992,-0.0425907309784192,out_of_sample
5211.KL,2026-03-27,6.272727272727274,False,0.4982560009458978,-0.049360144658626,-0.0315397966037502,out_of_sample
5211.KL,2026-04-24,-1.3983199263930844e-15,True,0.38829409666160347,-0.0261681998095681,-0.0209541311479429,out_of_sample
6459.KL,2007-04-02,-5.809095641173686e-16,True,1.3458778932849718,0.1444446715594258,0.0552767340412445,in_sample
6459.KL,2007-04-30,0.7575757575757601,False,0.11946566412030557,0.2224671554190946,0.1789958145465289,in_sample
6459.KL,2007-05-30,2.4242424242424225,False,1.9026261893033987,0.1009295183357308,0.1634976837070066,in_sample
6459.KL,2007-06-27,1.9090909090909078,False,0.17695546046568972,-0.0050873870749489,0.0308334396610769,in_sample
6459.KL,2007-07-25,1.501481690724924e-15,True,0.8578773539257116,-0.0577969780648803,-0.0508681320886629,in_sample
6459.KL,2007-08-22,-5.666666666666666,False,0.5410521161514461,0.0381353735922405,-0.061052940858485,in_sample
6459.KL,2007-09-20,-1.3636363636363644,False,2.042973874335053,0.0330934451602349,-0.0302838299519903,in_sample
6459.KL,2007-10-19,3.1818181818181803,False,0.07704559237407775,0.0164651339828234,-0.0341270874683625,in_sample
6459.KL,2007-11-19,-1.3983199263930844e-15,True,0.6673552294413064,0.0374149453827703,0.0124786007972115,in_sample
6459.KL,2007-12-17,-5.809095641173686e-16,True,0.6558153932044837,-0.0562200178013321,0.0911416341325289,in_sample
6459.KL,2008-01-18,-5.809095641173686e-16,True,1.309107442461683,0.0192477551273082,0.1463413455051666,in_sample
6459.KL,2008-02-20,1.0606060606060599,False,0.11731952874991976,0.0108934501109674,0.0912500219333108,in_sample
6459.KL,2008-04-04,6.272727272727269,False,0.23794743067788837,-0.038961223844026,-0.0003762836914256,in_sample
6459.KL,2008-05-05,-5.809095641173686e-16,True,0.5850669238999239,-0.1341465267176136,-0.0370109809849412,in_sample
0225.KL,2025-12-09,0.6060606060606061,False,0.19627544653041507,-0.1244018016435191,-0.1786154268398678,out_of_sample
0225.KL,2026-01-08,-5.809095641173686e-16,True,1.6951896836683706,-0.1359648614293634,-0.151981029164128,out_of_sample
0225.KL,2026-02-06,-2.4242424242424208,False,1.416445201141939,-0.0097086925602465,-0.0247246030599082,out_of_sample
0225.KL,2026-03-11,-12.212121212121213,False,2.435324098586208,0.1010101751811414,0.1181335083568368,out_of_sample
0225.KL,2026-04-09,8.363636363636356,False,0.6647913764851503,0.2210526089454798,0.2230155184616854,out_of_sample
0099.KL,2014-11-03,1.9090909090909078,False,0.7460705914793878,0.0540947576113288,0.0850982227052613,in_sample
0099.KL,2014-12-01,-5.809095641173686e-16,True,2.313651206133365,0.2308770953452719,0.2067075485404061,in_sample
0099.KL,2014-12-30,7.48484848484849,False,0.23702878206639377,0.3488593832727804,0.3126645740196097,in_sample
0099.KL,2015-01-28,-5.809095641173686e-16,True,0.28810766430691676,0.1811286418452884,0.1481754080267521,in_sample
0099.KL,2015-03-03,-1.3636363636363609,False,0.4579731723120614,0.1025638487371258,0.1386324507446756,in_sample
0099.KL,2015-03-31,-5.809095641173686e-16,True,0.7725427698484675,0.0754244800399379,0.137676617860611,in_sample
0099.KL,2015-04-28,-1.4545454545454521,False,2.4332499528321985,0.0338619813054277,0.1062585855048263,in_sample
0099.KL,2015-05-28,-5.809095641173686e-16,True,1.1892513528221873,-0.1783310440169917,-0.075292692373622,in_sample
0099.KL,2015-06-25,-5.809095641173686e-16,True,0.8340095991096478,-0.107785663357464,-0.060348812047733,in_sample
0099.KL,2015-07-24,3.636363636363636,False,0.253936845576717,-0.0600738041592873,-0.0509673373327791,in_sample
0099.KL,2015-09-09,6.272727272727269,False,0.7869441782676753,0.0756758208343719,0.0345871037123919,in_sample
0099.KL,2015-10-09,3.1818181818181803,False,1.6780500870496853,0.0255881364743759,0.0542602171703656,in_sample
0099.KL,2015-11-09,-5.809095641173686e-16,True,1.4341840046462369,0.0199173498518081,0.0339437328395889,in_sample
0099.KL,2015-12-08,-3.1818181818181817,False,0.5082542885973764,0.1675725169994684,0.1564177428351056,in_sample
0099.KL,2016-01-08,3.333333333333335,False,0.34776788702228767,0.2206140486880321,0.1841338324504955,in_sample
0099.KL,2016-02-09,3.181818181818181,False,0.0,0.1240603735905798,0.1269957855688993,in_sample
0099.KL,2016-03-08,-5.809095641173686e-16,True,0.212836087959693,0.0175439791576017,0.0538976968143313,in_sample
0099.KL,2016-04-05,-5.809095641173686e-16,True,0.08716564623349891,-0.0538267582085177,-0.0165758725471971,in_sample
0099.KL,2016-05-04,-5.809095641173686e-16,True,0.02912880264210548,-0.0042364518305488,-0.0047915043587554,in_sample
0099.KL,2016-06-01,-0.7575757575757569,False,0.9985112172082756,-0.1130436310708967,-0.1461208206362979,in_sample
0099.KL,2016-06-30,-3.484848484848484,False,4.215390458506531,-0.0617987652852033,-0.0682313531474104,in_sample
0099.KL,2016-07-28,-1.818181818181815,False,1.1702213279678069,-0.0912151593979559,-0.1005127439293473,in_sample
0099.KL,2016-08-30,-1.060606060606067,False,0.9502950863524652,-0.0231976761809429,0.0062410939995837,out_of_sample
0099.KL,2016-09-30,-1.3983199263930844e-15,True,0.0,0.0141960301211876,0.0276600701457413,out_of_sample
0099.KL,2016-10-31,12.515151515151517,False,0.050615536396002234,0.004805083196179,-0.0020531334675,out_of_sample
0099.KL,2016-11-28,-1.3983199263930844e-15,True,0.9601851414537382,0.0624999372328252,0.0224793495885446,out_of_sample
0099.KL,2016-12-28,2.0985168111426005e-15,False,1.5175521476851515,0.1029146452590561,0.0325902271090587,out_of_sample
0099.KL,2017-01-25,-5.809095641173686e-16,True,2.318639243723105,0.116994553044686,0.074166173707757,out_of_sample
0099.KL,2017-02-27,-5.809095641173686e-16,True,0.10385250845768534,0.0638394604496712,0.0182802308279166,out_of_sample
0099.KL,2017-03-27,-5.809095641173686e-16,True,0.3559874561523111,0.0042919214869334,-0.0154794192193317,out_of_sample
0099.KL,2017-04-24,-5.809095641173686e-16,True,0.0,-0.0931220323031545,-0.0948930440995654,out_of_sample
0099.KL,2017-05-24,-5.809095641173686e-16,True,1.4869191721983601,-0.1082907603432374,-0.1112325624272299,out_of_sample
0099.KL,2017-06-23,-0.7575757575757569,False,0.09510209910038554,-0.1456780936085946,-0.1495444596608017,out_of_sample
0099.KL,2017-07-24,-5.143515827251364e-15,False,0.41565542444277065,-0.158143735001161,-0.1538190821033463,out_of_sample
0099.KL,2017-08-24,6.272727272727269,False,0.45555192565973357,-0.132912514611092,-0.1005892171464694,out_of_sample
0099.KL,2018-02-13,6.272727272727269,False,3.838717342638102,0.145520001600039,0.1360274569313169,out_of_sample
0099.KL,2018-03-13,3.6363636363636362,False,0.30443897548081306,-0.052332377806628,0.001245082613824,out_of_sample
5031.KL,2016-05-03,3.7878787878787916,False,1.650081418491044,0.0040269858654129,-0.0033121349125302,in_sample
5031.KL,2016-05-31,2.0985168111426005e-15,False,2.076453667215377,0.0759838911019352,0.0415066102939709,in_sample
5031.KL,2016-06-29,1.3636363636363618,False,0.928927353789667,0.038883997458315,0.0222661229406615,in_sample
5031.KL,2016-07-27,2.5757575757575757,False,0.11051592895404568,0.0853273090046973,0.0769897710567664,in_sample
5031.KL,2016-08-24,-5.809095641173686e-16,True,2.09010904130751,-0.0057673958329098,0.0255870805041478,out_of_sample
5031.KL,2016-09-26,-5.809095641173686e-16,True,0.21219833044419037,0.0207520852696916,0.044657466629193,out_of_sample
5031.KL,2016-10-25,-5.809095641173686e-16,True,0.013365572714790828,-0.0062656913768539,0.0002442932994992,out_of_sample
5031.KL,2016-11-22,-1.3636363636363644,False,2.7900246008393226,0.0580645080537018,0.0106643011667968,out_of_sample
5031.KL,2016-12-21,-1.8181818181818186,False,0.29701784502375345,0.1282123067307603,0.0514567542614392,out_of_sample
5031.KL,2017-01-19,1.0606060606060588,False,0.17135914194737725,0.1068062961293281,0.0623481378307575,out_of_sample
5031.KL,2017-02-21,-5.809095641173686e-16,True,0.3779272615625087,0.111434189150577,0.0759122335192055,out_of_sample
5031.KL,2017-03-21,-5.809095641173686e-16,True,1.5284444147336052,0.0747125679135805,0.0552046378689179,out_of_sample
5031.KL,2017-04-18,-5.809095641173686e-16,True,0.8117340364965691,0.1046508346515544,0.0962686871018849,out_of_sample
5031.KL,2017-05-18,-0.4545454545454559,False,0.2728088071513754,0.0649498667078793,0.0627373393267305,out_of_sample
5031.KL,2017-06-19,-5.809095641173686e-16,True,1.2893317236425876,-0.0128342886009474,-0.0093908126684647,out_of_sample
5031.KL,2017-07-17,-5.809095641173686e-16,True,1.499143346659052,-0.0315786798620916,-0.0366152218807533,out_of_sample
5031.KL,2017-08-14,-5.809095641173686e-16,True,2.7184466019417477,-0.0031545066608245,0.0131010649150182,out_of_sample
5031.KL,2017-09-11,-2.4242424242424216,False,1.3578959237751593,-0.0086672725452819,0.0303793555288495,out_of_sample
5031.KL,2017-10-09,16.727272727272723,False,0.7343163381379874,-0.0108696078906077,-0.0214532836585547,out_of_sample
5031.KL,2017-11-06,11.999999999999998,False,1.0158780565258811,-0.0759492748639119,-0.1484342883580729,out_of_sample
5031.KL,2017-12-04,-2.7878787878787863,False,2.2030393926643774,-0.0874317560513645,-0.1708696393403376,out_of_sample
5031.KL,2018-01-02,-1.3983199263930844e-15,True,0.5786300272506848,-0.0618783474735807,-0.1071804240863819,out_of_sample
5031.KL,2018-03-13,5.424242424242424,False,0.15938693240025012,-0.0072115585415187,0.0463659018789333,out_of_sample
5031.KL,2018-04-10,-5.575757575757575,False,1.463523492656009,-0.0169900633308374,0.0755471819618943,out_of_sample
5031.KL,2018-05-14,13.242424242424242,False,0.9461157024793388,-0.0119050617917155,0.0127866635417097,out_of_sample
5031.KL,2018-06-12,8.363636363636356,False,0.44010422368680346,-0.0096852822294081,-0.0295304261434091,out_of_sample
