symbol,close,tier,w_score,m_score,resonance,red_ratio,red_streak,sweet_spot,banker_flag,vwap_score,base_trend,dv_daily%,dv_weekly%,dv_monthly%,ad_w_up,ad_m_up,vol_ratio,rel_20d%,turnover_20d,risks,scan_time
0097.KL,8.79,Tier 2,100.0,85.0,85.0,0.0,0,False,混合不一致,18.0,13.0,11.98,16.8,35.24,1,1,2.16,11.57,28226758.0,,2026-07-31 14:44:32
3867.KL,45.74,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,2.56,3.56,1.08,-3.07,6.52,0,1,0.49,-5.39,13254597.0,弱于板块,2026-07-31 14:44:32
0128.KL,5.13,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,10.01,9.01,4.77,4.57,14.31,1,1,0.67,2.94,23158049.0,,2026-07-31 14:44:32
0166.KL,2.23,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,4.62,4.62,0.95,0.69,15.49,0,1,0.84,-0.22,29866790.0,,2026-07-31 14:44:32
5005.KL,4.81,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,6.27,5.27,3.6,1.17,7.7,0,1,1.23,1.88,13239007.0,,2026-07-31 14:44:32
5292.KL,6.39,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,7.38,7.38,3.86,5.26,15.39,0,1,1.06,-1.28,22292076.0,,2026-07-31 14:44:32
0208.KL,2.41,Tier 3,85.0,85.0,60.0,0.0,0,False,混合不一致,1.37,2.37,0.85,-5.3,2.12,0,1,0.93,-6.98,11701384.0,弱于板块,2026-07-31 14:44:32
0138.KL,0.735,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,1.08,2.08,1.44,-4.72,-6.53,1,0,0.64,-8.08,55921439.0,弱于板块,2026-07-31 14:44:32
5286.KL,5.64,Tier 1,100.0,100.0,85.0,0.05555555555555555,1,False,双强(庄家游资同强),13.01,11.01,5.02,13.67,36.02,1,1,0.61,18.37,18750320.0,,2026-07-31 14:44:32
7160.KL,5.35,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,17.2,12.2,7.99,12.04,22.38,1,1,2.3,10.57,17790238.0,,2026-07-31 14:44:32
5162.KL,1.69,Tier 2,85.0,100.0,60.0,0.6666666666666666,12,True,混合不一致,-1.0,0.0,-3.4,-9.34,-4.1,0,0,0.94,-3.99,3212781.0,弱于板块,2026-07-31 14:44:32
4456.KL,0.45,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),7.88,7.88,0.98,5.67,22.53,1,1,0.49,0.0,13837216.0,,2026-07-31 14:44:32
5301.KL,0.685,Tier 3,-55.0,-90.0,-90.0,0.0,0,False,混合不一致,2.37,1.37,0.03,3.86,0.04,0,0,0.37,0.36,3827556.0,,2026-07-31 14:44:32
5216.KL,0.28,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,7.88,5.88,1.24,6.82,-0.45,1,1,0.09,10.88,2702416.0,,2026-07-31 14:44:32
5161.KL,0.36,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,1.74,2.74,-2.7,1.52,2.85,1,0,0.23,-8.81,1750590.0,弱于板块,2026-07-31 14:44:32
0146.KL,0.66,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,17.88,9.88,5.16,6.61,12.47,1,1,2.69,4.48,1010152.0,缩量突破启动,2026-07-31 14:44:32
7204.KL,0.325,Tier 3,-90.0,-90.0,-90.0,0.0,0,False,混合不一致,1.0,0.0,-2.64,-11.73,-25.1,0,0,0.42,0.44,1093106.0,,2026-07-31 14:44:32
0104.KL,0.32,Tier 3,-55.0,-55.0,-55.0,0.0,0,False,混合不一致,4.24,4.24,-0.28,1.36,9.07,0,1,0.34,-2.66,3366474.0,,2026-07-31 14:44:32
0083.KL,0.51,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,5.02,6.02,0.3,5.43,10.5,1,0,0.64,-6.68,2780236.0,弱于板块,2026-07-31 14:44:32
0127.KL,0.38,Tier 3,60.0,-55.0,-55.0,0.0,0,False,混合不一致,3.56,2.56,0.83,-3.47,2.9,1,0,0.78,0.21,443525.0,,2026-07-31 14:44:32
9334.KL,4.3,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,9.3,7.3,4.58,2.57,6.29,1,1,0.57,5.51,268858.0,,2026-07-31 14:44:32
7022.KL,0.245,Tier 3,-55.0,-90.0,-90.0,0.0,0,False,混合不一致,2.96,0.96,-1.87,1.57,1.63,0,0,0.44,7.77,334623.0,,2026-07-31 14:44:32
9377.KL,0.175,Tier 3,-55.0,60.0,-55.0,0.0,0,False,混合不一致,-1.0,0.0,-7.07,-13.85,-15.61,0,0,0.97,-17.79,1872711.0,弱于板块,2026-07-31 14:44:32
0126.KL,0.05,Tier 3,-90.0,-90.0,-90.0,0.0,0,False,混合不一致,-1.0,0.0,-4.98,-12.0,-26.42,0,0,0.0,-29.69,290646.0,弱于板块,2026-07-31 14:44:32
8338.KL,0.065,Tier 3,-55.0,-55.0,-55.0,0.0,0,False,混合不一致,0.15,1.15,2.88,-7.26,-12.83,0,0,0.7,-28.9,484103.0,弱于板块,2026-07-31 14:44:32
