sample,n_fast,n_slow,fast_mean_excess_60d,slow_mean_excess_60d,fast_win_rate,slow_win_rate,fast_volw_mean_excess_60d,slow_volw_mean_excess_60d,fast_volw_win_rate,slow_volw_win_rate
in_sample,64,152,0.03164092873550573,0.022609278877263796,0.671875,0.6710526315789473,0.015797361882342372,0.0286339494777215,0.5868385935508802,0.6604455263434549
out_of_sample,65,71,0.03860473501964224,0.021197976552369213,0.5076923076923077,0.5352112676056338,0.06916106722181159,0.01738361611642818,0.5536017145636073,0.5253655935251257
