symbol,close,tier,w_score,m_score,resonance,red_ratio,red_streak,sweet_spot,banker_flag,vwap_score,base_trend,dv_daily%,dv_weekly%,dv_monthly%,ad_w_up,ad_m_up,vol_ratio,rel_20d%,turnover_20d,risks,scan_time
0097.KL,8.0,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,11.35,9.35,4.63,10.63,27.72,0,1,1.42,7.42,24776989.0,,2026-07-26 16:50:30
3867.KL,45.08,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,1.82,2.82,-3.05,-4.43,5.28,0,1,0.4,-7.04,14265578.0,弱于板块,2026-07-26 16:50:30
0128.KL,4.96,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,6.64,6.64,1.37,1.7,11.39,1,1,0.65,-0.26,27108402.0,,2026-07-26 16:50:30
0166.KL,2.2,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,4.06,4.06,-1.63,0.18,14.55,0,1,0.57,-2.95,33670103.0,,2026-07-26 16:50:30
5005.KL,4.69,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,4.37,3.37,1.2,0.13,5.38,0,1,1.22,0.81,12991817.0,,2026-07-26 16:50:30
5292.KL,6.12,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,3.61,4.61,-1.54,1.73,11.36,0,1,0.47,-5.8,22786068.0,弱于板块,2026-07-26 16:50:30
0208.KL,2.34,Tier 3,85.0,85.0,60.0,0.0,0,False,混合不一致,0.5,1.5,-3.99,-8.44,-0.65,0,1,0.63,-10.46,11761877.0,弱于板块,2026-07-26 16:50:30
0138.KL,0.7,Tier 3,-55.0,60.0,-55.0,0.0,0,False,混合不一致,-1.0,0.0,-5.76,-10.34,-11.1,0,0,1.05,-12.04,58299930.0,弱于板块,2026-07-26 16:50:30
5286.KL,5.6,Tier 1,100.0,100.0,85.0,0.05555555555555555,1,False,双强(庄家游资同强),13.93,11.93,7.33,18.72,37.4,1,1,1.23,16.2,15800339.0,,2026-07-26 16:50:30
5309.KL,4.6,Tier 3,85.0,,-999.0,0.0,0,False,混合不一致,0.5,1.5,-2.85,-3.79,-2.98,0,1,2.05,-7.91,6061323.0,弱于板块|放量破日VWAP,2026-07-26 16:50:30
7160.KL,5.04,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),9.98,8.98,4.1,9.54,17.61,0,1,0.55,2.5,13769556.0,,2026-07-26 16:50:30
5162.KL,1.78,Tier 2,85.0,100.0,60.0,0.6666666666666666,12,True,混合不一致,2.08,2.08,1.04,-5.57,0.65,0,1,0.58,-0.06,3113562.0,,2026-07-26 16:50:30
4456.KL,0.455,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),10.17,8.17,3.04,8.45,24.82,0,1,0.39,5.38,16993168.0,,2026-07-26 16:50:30
5301.KL,0.695,Tier 3,-55.0,-90.0,-90.0,0.0,0,False,混合不一致,6.7,5.2,2.83,6.24,1.52,0,1,4.71,-1.49,2690091.0,,2026-07-26 16:50:30
5216.KL,0.275,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,6.81,4.81,0.31,4.83,-2.21,1,1,0.25,11.63,2750320.0,,2026-07-26 16:50:30
0259.KL,0.515,Tier 3,60.0,,-999.0,0.0,0,False,混合不一致,5.33,4.33,2.19,2.19,4.75,0,1,0.45,0.05,3712620.0,,2026-07-26 16:50:30
5161.KL,0.365,Tier 3,60.0,85.0,60.0,0.0,0,False,混合不一致,5.78,3.78,-2.04,3.39,4.36,1,0,0.26,4.4,1727265.0,,2026-07-26 16:50:30
0146.KL,0.615,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,4.16,3.16,-1.49,0.6,5.78,0,1,0.24,2.18,955942.0,,2026-07-26 16:50:30
7204.KL,0.325,Tier 3,-90.0,-90.0,-90.0,0.0,0,False,混合不一致,-1.0,0.0,-2.24,-14.52,-25.32,0,0,0.7,-5.94,1600000.0,弱于板块,2026-07-26 16:50:30
0246.KL,0.62,Tier 3,85.0,,-999.0,0.0,0,False,混合不一致,8.53,7.53,0.81,9.15,19.32,0,1,0.28,2.13,508338.0,,2026-07-26 16:50:30
0104.KL,0.315,Tier 3,-55.0,-55.0,-55.0,0.0,0,False,混合不一致,4.42,3.42,-1.99,-0.39,7.68,0,1,0.82,0.33,3279559.0,,2026-07-26 16:50:30
0083.KL,0.505,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,7.86,5.86,0.23,5.06,10.07,1,0,0.61,17.29,3083826.0,,2026-07-26 16:50:30
0127.KL,0.38,Tier 3,60.0,-55.0,-55.0,0.0,0,False,混合不一致,2.21,3.21,2.42,-3.27,2.96,1,0,0.61,-5.51,717989.0,弱于板块,2026-07-26 16:50:30
0277.KL,0.43,Tier 3,-55.0,,-999.0,0.0,0,False,混合不一致,0.0,0.0,-0.66,-7.96,-11.54,0,0,0.88,-0.57,369589.0,,2026-07-26 16:50:30
0249.KL,0.51,Tier 3,-55.0,,-999.0,0.0,0,False,混合不一致,8.89,7.89,9.51,6.94,0.61,1,0,1.82,7.92,395467.0,放量滞涨,2026-07-26 16:50:30
9334.KL,4.3,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,8.28,6.28,4.37,0.84,4.94,1,1,0.93,5.37,287613.0,,2026-07-26 16:50:30
7022.KL,0.25,Tier 3,-55.0,-90.0,-90.0,0.0,0,False,混合不一致,3.55,1.55,1.33,0.3,3.66,0,0,0.21,19.0,313140.0,,2026-07-26 16:50:30
9377.KL,0.175,Tier 3,-55.0,60.0,-55.0,0.0,0,False,混合不一致,-1.0,0.0,-11.34,-15.66,-16.16,0,0,0.66,-23.39,2097193.0,弱于板块,2026-07-26 16:50:30
0126.KL,0.055,Tier 3,-90.0,-90.0,-90.0,0.0,0,False,混合不一致,0.01,1.01,2.53,-3.45,-20.16,0,0,0.03,-24.38,311494.0,弱于板块,2026-07-26 16:50:30
8338.KL,0.055,Tier 3,-55.0,-55.0,-55.0,0.0,0,False,混合不一致,-1.0,0.0,-15.92,-23.8,-25.62,0,0,0.07,-29.62,437066.0,弱于板块,2026-07-26 16:50:30
