ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,sample,baseline_ret,baseline_exc,rule_ret,rule_exc,exited_early
7233.KL,2018-01-05,60.0,0.611,-0.0159995473147757,-0.0185848888319238,-0.0720016492782518,-0.0779753372525158,-0.0800000405499793,-0.0769636760223986,-0.2000000552954264,-0.1988834090748676,out_of_sample,-0.2000000552954264,-0.1988834090748676,-0.0159995473147757,-0.0185848888319238,True
7233.KL,2018-07-31,85.0,0.611,0.2656239445090109,0.2617904201596694,0.5234368021881823,0.5237002017695891,0.6562484289111108,0.6358532966995722,0.8855310898083215,0.9406299036481702,out_of_sample,0.8855310898083215,0.9406299036481702,0.8855310898083215,0.9406299036481702,False
7233.KL,2018-08-29,100.0,0.611,0.1084908637191917,0.1206130120746076,0.0754723043008995,0.0906867744978189,0.281334423875488,0.2936872174279893,0.7862471313028541,0.85451985288869,out_of_sample,0.7862471313028541,0.85451985288869,0.7862471313028541,0.85451985288869,False
7233.KL,2018-10-02,100.0,0.611,-0.0074347944341657,0.0059122565205067,-0.0148706471788818,0.0192255393246487,-0.1115239517250827,-0.049120881077862,0.1542749762714563,0.21326898493854,out_of_sample,0.1542749762714563,0.21326898493854,0.1542749762714563,0.21326898493854,False
7233.KL,2018-10-30,85.0,0.611,0.1757316586094357,0.1585661221832546,0.4518828869763864,0.4504177738292496,0.5690375093035889,0.5628688290566592,-0.0020931299907576,-0.0047445250159616,out_of_sample,-0.0020931299907576,-0.0047445250159616,-0.0020931299907576,-0.0047445250159616,False
7233.KL,2018-11-29,100.0,0.611,0.0319995842131819,0.0396631423807297,-0.0640005699549641,-0.0520100690942026,-0.1720002032216471,-0.1694830076020855,-0.327999971969428,-0.3306056076523525,out_of_sample,-0.327999971969428,-0.3306056076523525,-0.327999971969428,-0.3306056076523525,False
7233.KL,2018-12-28,85.0,0.611,-0.1932365085030815,-0.1856127679053354,-0.2512076303207866,-0.2418049976788751,-0.2318846283264712,-0.2309036333545935,-0.1835755364646136,-0.1549479129361151,out_of_sample,-0.1835755364646136,-0.1549479129361151,-0.1932365085030815,-0.1856127679053354,True
7233.KL,2019-11-01,100.0,0.611,-0.0199998254686282,-0.0302864027214615,-0.0599998438403515,-0.0608847988467751,0.0166669192778625,0.0364994573826031,0.396666910092001,0.4235726527689045,out_of_sample,0.396666910092001,0.4235726527689045,-0.0199998254686282,-0.0302864027214615,True
7233.KL,2019-11-29,85.0,0.611,0.0524587865124357,0.0481687310526472,0.0655736638459754,0.0595419018342344,0.0721311025127451,0.0375990715420557,0.5606557655513287,0.6032685239133256,out_of_sample,0.5606557655513287,0.6032685239133256,0.5606557655513287,0.6032685239133256,False
7233.KL,2019-12-30,85.0,0.667,-0.0061162656800097,-0.0032505785304811,0.1834862006474935,0.2051924076114707,0.2813455245142786,0.3217003441672909,-0.1743118864014217,0.005904392928919,out_of_sample,-0.1743118864014217,0.005904392928919,-0.0061162656800097,-0.0032505785304811,True
