symbol,close,tier,w_score,m_score,resonance,red_ratio,red_streak,sweet_spot,banker_flag,vwap_score,base_trend,dv_daily%,dv_weekly%,dv_monthly%,ad_w_up,ad_m_up,vol_ratio,rel_20d%,turnover_20d,risks,scan_time
5026.KL,1.92,Tier 1,100.0,100.0,100.0,0.6111111111111112,11,True,双强(庄家游资同强),11.97,9.97,3.45,8.83,21.12,1,1,0.0,5.32,255233.0,,2026-07-31 14:38:02
7103.KL,2.99,Tier 2,85.0,100.0,85.0,1.0,18,False,混合不一致,9.4,9.4,2.28,8.55,13.6,1,1,0.23,-1.29,1134898.0,,2026-07-31 14:38:02
8907.KL,1.87,Tier 1,100.0,100.0,85.0,0.6111111111111112,3,True,混合不一致,8.62,7.62,1.84,3.94,22.14,1,1,0.87,0.08,13435934.0,,2026-07-31 14:38:02
7115.KL,0.985,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,10.96,9.96,4.6,7.5,13.65,1,1,0.75,2.1,285224.0,,2026-07-31 14:38:02
5053.KL,1.98,Tier 1,100.0,100.0,85.0,1.0,18,False,双强(庄家游资同强),5.51,6.51,1.05,1.69,11.85,1,1,1.09,-3.37,1305048.0,弱于板块,2026-07-31 14:38:02
6262.KL,2.18,Tier 1,100.0,100.0,85.0,0.9444444444444444,15,False,混合不一致,7.33,7.33,0.91,4.19,11.05,1,1,0.31,-0.08,232021.0,,2026-07-31 14:38:02
