记录日,股票,现价,盈亏%,CMF周,CMF月,red_ratio
2026-08-10,5026.KL,1.85,0.0,0.2729159937325926,0.3608003244862633,0.667
2026-08-10,7115.KL,1.11,19.48,0.2770273135527901,-0.11437591569949901,0.0
2026-08-10,7233.KL,2.9,17.55,0.15845443423665806,0.16917099472251992,0.0
2026-08-10,8907.KL,1.83,1.84,0.20034463828687213,0.1262468744722089,0.611
2026-08-11,5026.KL,1.89,2.16,0.3079255903587649,0.3753385542466219,0.667
2026-08-11,7115.KL,1.18,27.02,0.309895430107295,-0.10459639997098422,0.056
2026-08-11,7233.KL,2.92,18.36,0.15733562272661794,0.17092631712992212,0.0
2026-08-11,8907.KL,1.8,0.17,0.1933845036563092,0.11464753277015477,0.611
2026-08-11,5026.KL,1.89,2.16,0.3079255903587649,0.3753386917924226,0.667
2026-08-11,7115.KL,1.18,27.02,0.30989543010729503,-0.10459639435797989,0.056
2026-08-11,7233.KL,2.92,18.36,0.1573356227266179,0.17092632056804258,0.0
2026-08-11,8907.KL,1.8,0.17,0.19338450365630916,0.11464753277015483,0.611
2026-08-11,1066.KL,8.73,-1.02,0.03002492700847979,0.23381715142930434,0.833
2026-08-12,5026.KL,1.88,1.62,0.28540753694649623,0.36772013573259715,0.667
2026-08-12,7115.KL,1.19,28.09,0.31225160423299314,-0.10395300556170746,0.056
2026-08-12,7233.KL,2.95,19.58,0.16219311278650034,0.17328816004315278,0.0
2026-08-12,8907.KL,1.81,0.72,0.19638967370916918,0.11903139648548403,0.611
2026-08-12,1066.KL,8.74,-0.91,0.030724585608465246,0.23449147491048308,0.833
2026-08-12,5026.KL,1.87,1.08,0.27160678550871437,0.36330322656866476,0.667
2026-08-12,7115.KL,1.27,36.71,0.3369689816337937,-0.09588588434136917,0.056
2026-08-12,7233.KL,2.89,17.15,0.15133830745887966,0.16929614519989314,0.0
2026-08-12,8907.KL,1.83,1.84,0.2040620476960314,0.12876676134549983,0.611
2026-08-12,1066.KL,8.7,-1.36,0.02492819313844056,0.2310866112779576,0.833
2026-08-13,5026.KL,1.88,1.62,0.2858346924820743,0.3676613784974595,0.667
2026-08-13,7115.KL,1.27,36.71,0.3468337603187817,-0.09236884224007375,0.056
2026-08-13,8907.KL,1.8,0.17,0.18703861059977206,0.11576048163716188,0.611
2026-08-13,1066.KL,8.69,-1.47,0.019519899472155385,0.22988817502954725,0.833
2026-08-14,5026.KL,1.87,1.08,0.26967543871317046,0.3628067861318283,0.667
2026-08-14,7115.KL,1.26,35.63,0.3389340384054793,-0.09346140527176369,0.056
2026-08-14,8907.KL,1.8,0.17,0.18481227640293948,0.1161539996135449,0.611
2026-08-14,1066.KL,8.65,-1.93,0.012615647974377414,0.22615424628014874,0.833
2026-08-14,5026.KL,1.87,1.08,0.26967543871317035,0.36280692325546154,0.667
2026-08-14,7115.KL,1.26,35.63,0.3389340384054796,-0.09346133653267376,0.056
2026-08-14,8907.KL,1.8,0.17,0.1848122764029395,0.11615399961354485,0.611
2026-08-14,1066.KL,8.65,-1.93,0.012615647974377465,0.22615387749392427,0.833
2026-08-14,5026.KL,1.87,1.08,0.26967543871317035,0.3628067861318284,0.667
2026-08-14,7115.KL,1.26,35.63,0.33893403840547937,-0.09346147720121961,0.056
2026-08-14,8907.KL,1.8,0.17,0.1848122764029395,0.11615399961354485,0.611
2026-08-14,1066.KL,8.65,-1.93,0.012615647974377439,0.22615423287901582,0.833
2026-08-14,1015.KL,7.35,-3.92,0.11066550753785862,0.09959633206664702,0.778
2026-08-14,5026.KL,1.87,1.08,0.26967543871317035,0.3628067861318284,0.667
2026-08-14,7115.KL,1.26,35.63,0.3389340384054795,-0.09346147436237873,0.056
2026-08-14,8907.KL,1.8,0.17,0.1848122764029395,0.11615399961354485,0.611
2026-08-14,1066.KL,8.65,-1.93,0.012615647974377439,0.2261538774939243,0.833
2026-08-14,1015.KL,7.35,-3.92,0.11066550753785856,0.09959633206664704,0.778
2026-08-14,5026.KL,1.87,1.08,0.26967543871317046,0.36280692325546154,0.667
2026-08-14,7115.KL,1.26,35.63,0.33893403840547937,-0.09346139974285318,0.056
2026-08-14,8907.KL,1.8,0.17,0.1848122764029395,0.11615399961354485,0.611
2026-08-14,1066.KL,8.65,-1.93,0.012615647974377414,0.226153855880265,0.833
2026-08-14,1015.KL,7.35,-0.0,0.11066550753785859,0.09959619563771503,0.778
2026-08-14,5026.KL,1.87,1.08,0.26967543871317035,0.3628067861318284,0.667
2026-08-14,7115.KL,1.26,35.63,0.3389340384054796,-0.09346133653267376,0.056
2026-08-14,8907.KL,1.8,0.17,0.1848122764029395,0.11615399961354485,0.611
2026-08-14,1066.KL,8.65,-1.93,0.012615647974377414,0.2261538640927953,0.833
2026-08-14,1015.KL,7.35,-0.0,0.11066550753785862,0.09959612526256068,0.778
2026-08-17,5026.KL,1.89,2.16,0.25140283046661227,0.3725053169555205,0.667
2026-08-17,7115.KL,1.23,32.4,0.33022001227679343,-0.10084590616945634,0.056
2026-08-17,8907.KL,1.79,-0.39,0.18383365105186866,0.11141245523338521,0.611
2026-08-17,1066.KL,8.61,-2.38,0.04723321115391336,0.22218876877813873,0.833
2026-08-17,1015.KL,7.23,-1.63,0.22927959470154827,0.08849666110615773,0.778
2026-08-17,5026.KL,1.89,2.16,0.25140283046661216,0.3725051798625091,0.667
2026-08-17,7115.KL,1.23,32.4,0.33022001227679343,-0.10084598357690709,0.056
2026-08-17,8907.KL,1.79,-0.39,0.18383365105186866,0.11141245523338521,0.611
2026-08-17,1066.KL,8.61,-2.38,0.04723321115391333,0.22218876877813873,0.833
2026-08-17,1015.KL,7.23,-1.63,0.2292795947015483,0.0884965907944481,0.778
2026-08-17,6491.KL,2.8,0.72,0.02315588651859702,0.16928817826153406,0.889
2026-08-17,5026.KL,1.89,2.16,0.2521780288674227,0.3725554051655861,0.667
