symbol,close,tier,w_score,m_score,resonance,red_ratio,red_streak,sweet_spot,banker_flag,vwap_score,base_trend,dv_daily%,dv_weekly%,dv_monthly%,ad_w_up,ad_m_up,vol_ratio,rel_20d%,turnover_20d,risks,scan_time
1163.KL,21.0,Tier 2,85.0,100.0,60.0,0.2777777777777778,3,False,混合不一致,-0.37,1.63,0.33,-0.35,-0.28,0,1,3.03,-1.46,875200.0,放量下跌,2026-07-29 08:00:03
8621.KL,15.0,Tier 3,85.0,85.0,85.0,0.3333333333333333,0,False,混合不一致,0.25,0.25,-0.36,-0.82,1.01,0,0,1.08,-0.95,1694035.0,,2026-07-29 08:00:03
1015.KL,6.5,Tier 2,85.0,100.0,85.0,0.7777777777777778,12,True,混合不一致,5.46,4.46,0.14,1.38,3.68,1,1,0.97,0.96,29754705.0,,2026-07-29 08:00:03
1066.KL,8.44,Tier 1,100.0,100.0,85.0,0.8333333333333334,11,True,混合不一致,3.88,2.88,0.97,1.14,2.39,1,0,1.13,0.85,35597962.0,,2026-07-29 08:00:03
1023.KL,7.76,Tier 3,85.0,85.0,85.0,0.2777777777777778,0,False,混合不一致,5.22,3.22,1.25,2.83,0.9,1,0,1.33,3.64,62148251.0,,2026-07-29 08:00:03
6139.KL,3.14,Tier 3,60.0,60.0,-55.0,0.0,0,False,混合不一致,-2.0,0.0,-2.34,-4.51,-5.06,0,0,1.73,-4.17,1694807.0,放量滞涨|弱于板块|放量破日VWAP,2026-07-29 08:00:03
9296.KL,1.07,Tier 3,60.0,85.0,60.0,0.0,0,False,混合不一致,3.79,1.79,0.73,-1.05,-1.84,1,0,1.66,0.82,241482.0,,2026-07-29 08:00:03
5185.KL,2.23,Tier 3,60.0,85.0,-55.0,0.0,0,False,混合不一致,2.5,1.5,-0.69,-2.61,-7.98,1,0,1.7,-1.08,1739482.0,,2026-07-29 08:00:03
1171.KL,0.625,Tier 3,-55.0,60.0,-90.0,0.0,0,False,混合不一致,-1.0,0.0,-2.08,-3.59,-8.16,0,0,0.63,-3.42,1382528.0,弱于板块,2026-07-29 08:00:03
5274.KL,3.12,Tier 3,-55.0,-90.0,-90.0,0.0,0,False,混合不一致,0.0,0.0,-0.9,-1.77,-3.7,0,0,1.25,-2.35,279798.0,,2026-07-29 08:00:03
3379.KL,0.905,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),4.85,2.85,0.39,1.71,2.38,1,0,1.29,4.15,585322.0,,2026-07-29 08:00:03
1295.KL,5.19,Tier 3,85.0,85.0,85.0,0.0,0,False,混合不一致,7.84,5.84,2.29,4.72,7.08,1,0,0.78,7.04,131016177.0,,2026-07-29 08:00:03
2488.KL,4.8,Tier 3,85.0,85.0,85.0,0.2777777777777778,0,False,混合不一致,1.89,1.89,-0.1,0.89,0.31,1,0,0.69,-0.03,12189665.0,,2026-07-29 08:00:03
6483.KL,0.71,Tier 3,-55.0,60.0,-55.0,0.0,0,False,混合不一致,2.92,1.92,1.05,-0.13,-7.82,1,0,0.54,2.57,207287.0,,2026-07-29 08:00:03
1082.KL,18.5,Tier 3,85.0,85.0,60.0,0.0,0,False,混合不一致,0.0,0.0,-0.01,-0.11,-6.36,0,0,0.34,-0.54,1572709.0,,2026-07-29 08:00:03
5139.KL,5.6,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,0.04,0.04,-0.76,-1.12,0.14,0,0,0.33,-1.83,1918658.0,,2026-07-29 08:00:03
5258.KL,2.13,Tier 3,60.0,60.0,-55.0,0.0,0,False,混合不一致,0.26,0.26,0.66,-1.18,-8.01,0,0,0.98,-0.13,1595272.0,,2026-07-29 08:00:03
6459.KL,2.65,Tier 2,85.0,100.0,85.0,0.2777777777777778,3,False,混合不一致,3.59,4.59,-3.27,1.0,4.95,1,1,0.61,-4.36,692321.0,弱于板块,2026-07-29 08:00:03
5325.KL,1.1,Tier 3,-55.0,,-999.0,0.0,0,False,混合不一致,4.58,2.58,2.66,0.05,-11.47,1,0,0.48,5.72,716873.0,,2026-07-29 08:00:03
1818.KL,8.65,Tier 3,85.0,85.0,60.0,0.0,0,False,混合不一致,2.66,1.66,0.16,0.27,-0.49,0,1,0.89,0.68,8269310.0,,2026-07-29 08:00:03
1155.KL,10.9,Tier 2,85.0,100.0,60.0,1.0,18,False,混合不一致,1.16,0.16,-0.48,0.45,-2.76,0,0,0.97,0.03,99767758.0,,2026-07-29 08:00:03
5819.KL,22.3,Tier 3,85.0,85.0,85.0,0.05555555555555555,0,False,纯游资(无真庄家),4.77,2.77,0.79,2.6,0.18,1,0,0.8,3.13,20780164.0,,2026-07-29 08:00:03
