symbol,close,tier,w_score,m_score,resonance,red_ratio,red_streak,sweet_spot,banker_flag,vwap_score,base_trend,dv_daily%,dv_weekly%,dv_monthly%,ad_w_up,ad_m_up,vol_ratio,rel_20d%,turnover_20d,risks,scan_time
7277.KL,1.99,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,3.79,1.79,3.34,1.29,-2.84,0,0,0.57,5.23,13459806.0,,2026-07-26 21:15:10
7293.KL,1.8,Tier 3,-90.0,-55.0,-90.0,0.0,0,False,混合不一致,0.5,0.0,-2.19,-5.61,-12.81,0,0,2.34,-9.56,10005251.0,弱于板块|放量破日VWAP,2026-07-26 21:15:10
0215.KL,3.06,Tier 3,85.0,85.0,85.0,0.3888888888888889,0,False,混合不一致,7.08,7.08,0.32,4.15,19.29,1,1,0.36,0.0,8674062.0,,2026-07-26 21:15:10
5210.KL,0.37,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,8.46,4.96,3.33,7.51,3.98,0,0,2.65,9.78,3367142.0,,2026-07-26 21:15:10
5243.KL,0.26,Tier 3,85.0,85.0,-55.0,0.0,0,False,混合不一致,-1.0,0.0,-0.92,-6.87,-12.18,0,0,0.86,-4.99,8497205.0,弱于板块,2026-07-26 21:15:10
5141.KL,1.65,Tier 3,60.0,85.0,60.0,0.0,0,False,混合不一致,-2.0,0.0,-2.44,-4.78,-7.9,0,0,3.07,-0.49,4045332.0,放量下跌|放量破日VWAP,2026-07-26 21:15:10
5255.KL,1.61,Tier 3,85.0,-55.0,-55.0,0.0,0,False,混合不一致,0.5,1.5,-1.54,-3.4,-7.88,0,1,3.46,-4.76,794474.0,弱于板块|放量破日VWAP,2026-07-26 21:15:10
5199.KL,2.09,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),7.07,5.07,3.99,5.36,0.4,1,0,1.0,16.41,7102340.0,,2026-07-26 21:15:10
0168.KL,1.87,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),9.56,7.56,0.16,10.65,14.3,0,1,0.3,8.97,2724653.0,,2026-07-26 21:15:10
3042.KL,3.54,Tier 3,60.0,60.0,-55.0,0.0,0,False,混合不一致,0.05,0.05,0.13,-2.25,-13.27,0,0,0.26,-0.91,677713.0,,2026-07-26 21:15:10
4324.KL,1.54,Tier 3,85.0,-55.0,-55.0,0.0,0,False,混合不一致,12.5,11.5,11.92,19.72,11.37,1,0,1.51,47.17,6874426.0,放量滞涨,2026-07-26 21:15:10
0193.KL,0.405,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),6.11,5.11,3.44,3.4,4.17,0,1,0.74,1.51,1952823.0,,2026-07-26 21:15:10
0223.KL,1.5,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),12.4,10.4,4.08,9.33,19.34,1,1,0.61,7.15,1979886.0,,2026-07-26 21:15:10
5218.KL,0.325,Tier 3,-55.0,-90.0,-90.0,0.0,0,False,混合不一致,0.0,0.0,-1.64,-1.14,-13.42,0,0,0.57,-2.34,588831.0,,2026-07-26 21:15:10
5142.KL,0.71,Tier 3,-55.0,60.0,-55.0,0.0,0,False,混合不一致,0.0,0.0,-2.81,-13.86,-26.04,0,0,0.44,-2.34,676925.0,,2026-07-26 21:15:10
5184.KL,0.65,Tier 3,60.0,-55.0,-55.0,0.0,0,False,混合不一致,-1.0,0.0,-2.17,-3.3,-3.35,0,0,0.93,-6.75,2410318.0,弱于板块,2026-07-26 21:15:10
5132.KL,1.11,Tier 3,60.0,85.0,-55.0,0.3333333333333333,0,False,混合不一致,-1.0,0.0,-0.77,-4.33,-9.3,0,0,2.31,-4.97,334077.0,弱于板块,2026-07-26 21:15:10
7108.KL,0.17,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,1.5,1.5,-1.77,-7.61,-5.14,1,0,1.65,-2.34,277330.0,放量破日VWAP,2026-07-26 21:15:10
7250.KL,0.41,Tier 3,60.0,60.0,60.0,0.0,0,False,混合不一致,3.75,1.75,3.49,1.0,-2.26,0,0,0.8,8.47,394400.0,,2026-07-26 21:15:10
5343.KL,0.38,无数据,,,-999.0,0.0,0,False,混合不一致,4.2,2.2,1.74,-3.5,-19.08,1,0,0.22,12.81,522791.0,,2026-07-26 21:15:10
0219.KL,0.285,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,10.43,9.43,6.08,5.61,8.15,1,1,1.08,1.3,2290734.0,,2026-07-26 21:15:10
