ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d
7233.KL,2018-01-05,60.0,0.611,-0.01599954731477571,-0.018584888831923885,-0.07200164927825181,-0.07797533725251582,-0.08000004054997933,-0.07696367602239862,-0.20000005529542642,-0.19888340907486768
7233.KL,2018-07-31,85.0,0.611,0.26562394450901095,0.26179042015966947,0.5234368021881823,0.5237002017695891,0.6562484289111108,0.6358532966995722,0.8855310898083215,0.9406299036481702
7233.KL,2018-08-29,100.0,0.611,0.1084908637191917,0.12061301207460762,0.07547230430089957,0.09068677449781892,0.281334423875488,0.2936872174279893,0.7862471313028541,0.85451985288869
7233.KL,2018-10-02,100.0,0.611,-0.007434794434165726,0.005912256520506753,-0.014870647178881868,0.019225539324648766,-0.11152395172508278,-0.049120881077862055,0.15427497627145637,0.21326898493854007
7233.KL,2018-10-30,85.0,0.611,0.17573165860943574,0.1585661221832546,0.45188288697638646,0.45041777382924963,0.5690375093035889,0.5628688290566592,-0.002093129990757614,-0.004744525015961676
7233.KL,2018-11-29,100.0,0.611,0.03199958421318194,0.039663142380729766,-0.06400056995496417,-0.05201006909420269,-0.1720002032216471,-0.16948300760208557,-0.327999971969428,-0.3306056076523525
7233.KL,2018-12-28,85.0,0.611,-0.1932365085030815,-0.18561276790533543,-0.25120763032078663,-0.2418049976788751,-0.23188462832647128,-0.23090363335459352,-0.18357553646461366,-0.1549479129361151
7233.KL,2019-11-01,100.0,0.611,-0.01999982546862822,-0.030286402721461547,-0.05999984384035151,-0.06088479884677511,0.01666691927786257,0.036499457382603184,0.39666691009200106,0.42357265276890455
7233.KL,2019-11-29,85.0,0.611,0.05245878651243574,0.048168731052647296,0.0655736638459754,0.05954190183423447,0.07213110251274513,0.03759907154205577,0.5606557655513287,0.6032685239133256
7233.KL,2019-12-30,85.0,0.667,-0.00611626568000978,-0.003250578530481163,0.18348620064749355,0.20519240761147073,0.28134552451427863,0.3217003441672909,-0.1743118864014217,0.005904392928919089
7233.KL,2020-01-29,100.0,0.667,-0.023866377173957676,-0.015043290046110047,0.10023875782266978,0.10509536868205982,0.13603829069866546,0.1716920152734187,-0.21479713148609414,-0.1060688366851068
7233.KL,2020-02-26,100.0,0.667,-0.11134471368660992,-0.10784014875524961,-0.1890757825281021,-0.1547256414996936,-0.4327731155682598,-0.31861374579232793,0.050420177797322774,0.07948669284933363
7233.KL,2020-03-30,60.0,0.667,0.0032466945666294045,-0.006392954217586455,0.0032466945666294045,-0.01718406239735759,0.09740262645216369,0.0663388515852108,0.6104693038078313,0.4708404071833481
7233.KL,2020-04-27,60.0,0.667,0.18934902800013176,0.17519738573591526,0.3313609824456585,0.31158959432709366,0.44970399245737624,0.34932892400130244,1.0844892569465485,0.9084076287080873
7233.KL,2020-06-02,85.0,0.667,0.07142869194278156,0.026605100387897984,-0.02448980510040244,-0.036846460385530855,0.01229506859869689,0.007824578931304949,0.3933682958447102,0.3817478564890502
