代码,名称,Tier,日,周,月,red_ratio,red_streak,共振(min),完整SweetSpot,20日均成交额(MYR)
0151.KL,KGB,Tier 1,85,100,100,1.00,18,85,否,22145168
8907.KL,EG,Tier 1,85,100,100,0.61,3,85,是,13872378
5330.KL,TMK,Tier 1B ⭐新股,85,100,N/A,N/A,N/A,N/A,否,3101348
5327.KL,MEGAFB,Tier 1B ⭐新股,100,100,N/A,N/A,N/A,N/A,否,6040822
0291.KL,CHB,Tier 1B ⭐新股,100,100,N/A,N/A,N/A,N/A,否,5252079
0225.KL,SCGBHD,Tier 2,85,85,100,1.00,18,85,否,8521865
6491.KL,KFIMA,Tier 2,85,85,100,0.83,15,85,是,294236
5211.KL,SUNWAY,Tier 2,60,60,100,1.00,18,60,否,10482906
4731.KL,SCIENTX,Tier 3,85,85,85,0.00,0,85,否,4684492
9822.KL,SAM,Tier 3,85,85,85,0.00,0,85,否,3328051
7233.KL,DUFU,Tier 3,85,85,85,0.00,0,85,否,9269800
8869.KL,PMETAL,Tier 3,60,85,85,0.28,0,60,否,86834311
5183.KL,PCHEM,Tier 3,60,85,60,0.00,0,60,否,30364320
5273.KL,CHINHIN,Tier 3,60,60,85,0.00,0,60,否,556679
7172.KL,PMBTECH,Tier 3,60,60,60,0.00,0,60,否,199335
3476.KL,KSENG,Tier 3,60,60,85,0.00,0,60,否,123421
5916.KL,MSC,Tier 3,60,85,85,0.17,0,60,否,1851012
7100.KL,UCHITEC,Tier 3,60,60,85,0.06,0,60,否,341816
4758.KL,ANCOMNY,Tier 3,60,60,85,0.00,0,60,否,704450
5302.KL,ATECH,Tier 3,85,60,60,0.00,0,60,否,1052207
6971.KL,KOBAY,Tier 3,60,85,85,0.00,0,60,否,2184743
3794.KL,MCEMENT,Tier 3,-55,60,85,0.33,0,-55,否,7134216
3034.KL,HAPSENG,Tier 3,60,60,-55,0.00,0,-55,否,330047
5151.KL,HEXTAR,Tier 3,60,-55,85,0.17,0,-55,否,7587629
5000.KL,HUMEIND,Tier 3,-55,60,85,0.06,0,-55,否,223293
3395.KL,BJCORP,Tier 3,60,-55,60,0.00,0,-55,否,395539
2852.KL,CMSB,Tier 3,-55,60,60,0.00,0,-55,否,1384973
7241.KL,NGGB,Tier 3,-55,-55,60,0.00,0,-55,否,2515465
5271.KL,PECCA,Tier 3,-90,60,85,0.56,0,-90,否,2729466
6963.KL,VS,Tier 3,85,-90,-90,0.00,0,-90,否,11617393
5284.KL,LCTITAN,Tier 3,60,-55,-90,0.00,0,-90,否,374498
0161.KL,HEXIND,Tier 3,-55,-90,60,0.00,0,-90,否,160010
5340.KL,UMSINT,Tier 3 ⭐新股,85,N/A,N/A,N/A,N/A,N/A,否,270428
0270.KL,NATGATE,Tier 3 ⭐新股,85,60,N/A,N/A,N/A,N/A,否,37264646
5317.KL,CPETECH,Tier 3 ⭐新股,85,85,N/A,N/A,N/A,N/A,否,1894435
