代码,名称,Tier,日,周,月,red_ratio,red_streak,共振(min),完整SweetSpot,20日均成交额(MYR)
8907.KL,EG,Tier 1,85,100,100,0.61,3,85,是,13872378
6491.KL,KFIMA,Tier 2,85,85,100,0.83,15,85,是,294236
